CustomerID,Recency,Frequency,MonetaryValue,Cluster,Persona
12346,326,1,77183.6,2,loyal clients
12347,2,7,4310.0,1,Champions
12348,75,4,1797.24,2,loyal clients
12349,19,1,1757.55,0,Occasionnal client
12350,310,1,334.4,3,Client at Risk
12352,36,8,2506.04,2,loyal clients
12353,204,1,89.0,3,Client at Risk
12354,232,1,1079.4,3,Client at Risk
12355,214,1,459.4,3,Client at Risk
12356,23,3,2811.43,2,loyal clients
12357,33,1,6207.67,2,loyal clients
12358,2,2,1168.06,0,Occasionnal client
12359,58,4,6310.03,2,loyal clients
12360,52,3,2662.06,2,loyal clients
12361,287,1,189.9,3,Client at Risk
12362,3,10,5226.23,1,Champions
12363,110,2,552.0,3,Client at Risk
12364,8,4,1313.1,2,loyal clients
12365,291,2,641.38,3,Client at Risk
12367,4,1,168.9,0,Occasionnal client
12370,51,4,3541.94,2,loyal clients
12371,45,2,1887.96,2,loyal clients
12372,72,3,1298.04,2,loyal clients
12373,311,1,364.6,3,Client at Risk
12374,25,1,742.9300000000001,0,Occasionnal client
12375,11,2,457.5,0,Occasionnal client
12377,315,2,1628.12,2,loyal clients
12378,130,1,4008.62,2,loyal clients
12379,82,2,852.24,2,loyal clients
12380,22,4,2724.81,2,loyal clients
12381,5,5,1845.31,1,Champions
12383,185,5,1850.56,2,loyal clients
12384,29,2,585.27,0,Occasionnal client
12386,338,2,401.9,3,Client at Risk
12388,16,6,2780.66,1,Champions
12390,80,1,549.84,3,Client at Risk
12391,22,1,439.66,0,Occasionnal client
12393,72,4,1582.6000000000001,2,loyal clients
12394,64,2,1272.48,2,loyal clients
12395,19,12,3018.63,1,Champions
12397,36,2,2409.9,2,loyal clients
12398,46,1,1635.6599999999999,2,loyal clients
12399,119,4,1108.65,2,loyal clients
12401,303,1,84.3,3,Client at Risk
12402,323,1,225.6,3,Client at Risk
12403,50,1,427.7,3,Client at Risk
12405,149,1,1710.39,3,Client at Risk
12406,22,2,3415.3,2,loyal clients
12407,50,5,1708.1200000000001,2,loyal clients
12408,33,5,2888.55,2,loyal clients
12409,79,3,11072.67,2,loyal clients
12410,309,2,693.3299999999999,3,Client at Risk
12412,75,3,1226.88,2,loyal clients
12413,67,3,758.1,2,loyal clients
12414,217,3,562.41,3,Client at Risk
12415,24,21,124914.53,1,Champions
12417,3,9,3649.1,1,Champions
12418,113,1,668.58,3,Client at Risk
12420,64,1,600.39,3,Client at Risk
12421,16,4,807.04,2,loyal clients
12422,96,3,803.5600000000001,2,loyal clients
12423,1,8,1859.31,1,Champions
